,Event,Section,round,color,Oponent USCF,Oponent name,Rating,Result
2,29TH ANNUAL BRADLEY OPEN!,UNDER 1800 SECTION,4,W,31967158,LUCAS D'AMICO,Unr. => 1414 (R),W
3,73RD NEW HAMPSHIRE OPEN,UNDER 1800,1,W,31954889,SALVADOR ALBANESE,Unr. => 1343 (R),D
4,GEORGE O-ROURKE MEMORIAL,U1600,4,W,31754662,NICHOLAS A CORONEL,Unr. => 1363 (R),L
5,KINGS OF CHESS JULY-2023,K-12 DIVISION,1,W,31297896,JONAH PLATT,Unr. => 826 (R),W
6,KINGS OF CHESS MAY 2023,K-12 DIVISION,4,B,31219958,EMMETT CARLYLE SONNENFELD,Unr. => 822 (R),W
7,2023 SCHOLASTIC STATE CHAMPIONSHIPS,K-3,1,B,31012592,VANDER GIANNOTTI,Unr. => 105 (R),W
8,SSC #6,U1000,1,,30980420,ADHVAITH RAVINDRAN,Unr. => 783 (R),D
9,SSC #6,U1000,2,,30968476,OWEN ISAAC BACON,Unr. => 775 (R),L
10,SSC #3,K-3,1,,30802451,ALEXANDER LIONEL CHUGHTAI,Unr. => 111 (R),W
11,SSC #3,K-3,5,,30804806,JONAH HARLEY,Unr. => 447 (R),W
12,SSC #2,K-3,1,,30733228,FINNEGAN R TUCKER,Unr. => 105 (R),W
13,SSC #1,K-3RD,3,,30707950,LAKE YANG,Unr. => 406 (R),W
2,KINGS OF CHESS MAY 2023,K-12 DIVISION,1,W,31143607,SMRITI KARRA,102 => 103 (R),W
3,SSC #3,K-3,2,,30544856,DUNCAN COBALT HOWARD,114 => 318 (R),L
4,SSC #3,K-3,3,,30705060,DELYLAH BRINK,103 => 130 (R),W
5,SSC #3,K-3,4,,17291666,NIKHIL BOOMINATHAN,195 => 180 (R),W
6,SSC #2,K-3,5,,30426034,MAXWELL ORION HOWARD,143 => 248 (R),W
7,SSC #1,K-3RD,5,,30441850,MS. RUE AMA WEERAPURA,125 => 173 (R),W
8,SUMMIT SCHOOL OF CHESS #9,K-3,2,,30551243,ALEXANDER MICHAEL CORNEA,132 => 139 (R),W
9,SUMMIT SCHOOL OF CHESS #9,K-3,4,,30379582,ELLA WIKIEL,135 => 236 (R),L
10,SUMMIT SCHOOL OF CHESS #9,K-3,5,,30317265,BRAYDEN JANTZ,110 => 115 (R),W
2,SSC #4,K-6,1,,30738839,EMERY FAITH PFEFFER,201 => 334 (R),W
3,SSC #1,K-3RD,1,,30681536,ADAM WIKIEL,239 => 260 (R),W
2,SSC #4,K-6,2,,30266598,DONOVAN CAL BELMON,357 => 475 (R),W
3,SSC #4,K-6,3,,30681536,ADAM WIKIEL,374 => 395 (R),W
4,SUMMIT SCHOOL OF CHESS #9,K-3,1,,30445829,SHRI SHARAN RAMKUMAR,378 => 373 (R),L
2,WACHUSETT CLUB CHAMPIONSHIP,OPEN,1,B,30544907,MICHAEL J. COTE,490 => 692 (R),W
3,GUS GOSSELIN GRADE CHAMPIONSHIP,GRADE 4,1,W,30982608,ALEXANDER WULF,444 => 465 (R),W
4,KINGS OF CHESS JULY-2023,K-12 DIVISION,4,W,31143614,ANDREW MARSHALL MINKEL,417 => 428 (R),W
5,2023 COLORADO CLASS CHAMPIONSHIPS,CLASS E/UNRATED (1199-),1,B,31215371,STEPAN ARTEMOVICH ROSTOVTSEV,421 => 408 (R),W
6,2023 SCHOLASTIC STATE CHAMPIONSHIPS,K-3,2,W,30440609,ETHAN SOE,465 => 402 (R),W
7,2023 SCHOLASTIC STATE CHAMPIONSHIPS,K-3,5,B,30562948,BRODY SPINUZZI,496 => 518 (R),W
8,SSC #4,K-6,4,,30284033,OSCAR STONE,494 => 560 (R),W
9,SSC #4,K-6,5,,30360539,DAVID ALLISON,465 => 578 (R),W
10,SSC #2,K-3,3,,30707950,LAKE YANG,406 => 381 (R),W
11,SUMMIT SCHOOL OF CHESS #9,K-3,3,,30519650,ANIRUDH SAIBALAN,491 => 542 (R),L
2,JUNIOR OPEN,U1500,4,B,30295114,VIHAAN PATEL,591 => 670 (R),W
3,KINGS OF CHESS MAY 2023,K-12 DIVISION,2,B,30685166,SLAVA DOLBIK,542 => 494 (R),W
4,2023 SCHOLASTIC STATE CHAMPIONSHIPS,K-3,3,B,30319352,REYANSH YADAV,565 => 683 (R),L
5,2023 SCHOLASTIC STATE CHAMPIONSHIPS,K-3,4,W,30788694,SIMON ROETTER,590 => 654 (R),W
2,82ND NEW ENGLAND OPEN,UNDER 1200,1,W,30308225,ANTON POLIANNIKOV,627 => 601 (R),W
3,82ND NEW ENGLAND OPEN,UNDER 1200,2,B,17035643,HARRY TAN,626 => 594 (R),W
4,82ND NEW ENGLAND OPEN,UNDER 1200,5,W,17073376,MR. ANTHONY YUCHENG JI,649 => 819 (R),W
5,KINGS OF CHESS JULY-2023,K-12 DIVISION,3,B,31127927,OMRI BASEVITCH,627 => 794 (R),L
6,2022-2023 SSC#7,U1000,4,,30441832,AHAS SANUTH WEERAPURA,650 => 879 (R),L
7,SSC #6,U1000,3,,17294630,HAVISH VATTI,674 => 616 (R),W
8,SSC #5,U1000,4,,30202629,TYLER JAMES MARSHALL,697 => 620 (R),W
9,SSC #1,K-3RD,2,,30519650,ANIRUDH SAIBALAN,601 => 621 (R),L
2,3RD SPIEGEL CUP QUALIFIER,GRADES K-5,1,B,30690866,AARAV CHANDAK,753 => 765 (R),W
3,126TH RHODE ISLAND OPEN,U1500,1,W,31484222,JOSHUA JOHN MAJOR JR.,771 => 820 (R),W
4,GUS GOSSELIN GRADE CHAMPIONSHIP,GRADE 4,2,B,17128377,VARUN VASANTH,794 => 836 (R),W
5,88TH GREATER BOSTON OPEN,EXTRA,1,W,30295114,VIHAAN PATEL,702 => 700 (R),W
6,2022-2023 SSC#7,U1000,2,,30326770,EMERSON COLE ALEXANDER,720 => 757 (R),W
7,SSC #5,U1000,2,,16461717,AMOS CRILL,719 => 695 (R),W
8,SSC #5,U1000,5,,30453606,JAMES CORBETT III,701 => 915 (R),L
9,SSC #2,K-3,2,,30519650,ANIRUDH SAIBALAN,702 => 709 (R),W
