,Event,Section,round,color,Oponent USCF,Oponent name,Rating,Result
2,4TH SPIEGEL CUP QUALIFIER,GRADES K-5,3,B,30153391,BENJAMIN BORIS WALKER,914 => 936 (R),W
2,HERB HEALY 2024,RATED,1,B,30831560,AARON CHAWYNN PIAO,1132 => 1125 (R),W
3,53RD ANNUAL CONTINENTAL OPEN!,UNDER 1700 SECTION,7,W,16664761,NICHOLAS TOBIAS LLANOS,1184 => 1434 (R),W
4,91ST MASSACHUSETTS OPEN,UNDER 1500,4,B,30711000,RICHARD ZHAO,1168 => 1232 (R),W
5,4TH SPIEGEL CUP QUALIFIER,GRADES K-5,4,W,30716324,MAITREYA GANGULY,1126 => 1108 (R),W
2,91ST MASSACHUSETTS OPEN,UNDER 1500,2,B,30644252,CARTER JAY ZSITTNIK,1245 => 1185 (R),W
3,4TH SPIEGEL CUP QUALIFIER,GRADES K-5,1,W,30026942,DYLAN ROBERT ARNDT,1293 => 1303 (R),L
4,4TH SPIEGEL CUP QUALIFIER,GRADES K-5,2,B,30305579,EMMA LINYUE ZHANG,1233 => 1177 (R),D
2,91ST MASSACHUSETTS OPEN,UNDER 1500,1,W,16732714,SRIMAN DEVINENI,1359 => 1364 (R),D
3,91ST MASSACHUSETTS OPEN,UNDER 1500,5,W,17324391,VENKAT DEVARSHI DEVATA,1374 => 1334 (R),W
2,12TH ANNUAL BOSTON CHESS CONGRESS!,UNDER 2100 SECTION,2,W,17026676,TIANJUN CHEN,1436 => 1484 (R),W
3,53RD ANNUAL CONTINENTAL OPEN!,UNDER 1700 SECTION,5,B,30203186,MATTHEW KENNEDY MOORE,1496 => 1585 (R),W
4,53RD ANNUAL CONTINENTAL OPEN!,UNDER 1700 SECTION,6,B,30359466,CHARLIE CRESWELL,1489 => 1597 (R),L
5,91ST MASSACHUSETTS OPEN,UNDER 1500,3,W,12554268,JOHN TWOMBLEY,1434 => 1400 (R),W
6,91ST MASSACHUSETTS OPEN,UNDER 1500,6,B,30509239,LAIXIAN WAN,1455 => 1463 (R),W
2,88TH GREATER BOSTON OPEN,U2200,3,B,30048697,CHRIS CUI,1589 => 1599 (R),W
3,53RD ANNUAL CONTINENTAL OPEN!,UNDER 1700 SECTION,2,B,30290965,ABIGAIL ZHOU,1559 => 1658 (R),W
4,53RD ANNUAL CONTINENTAL OPEN!,UNDER 1700 SECTION,3,W,16715512,NATHAN KLEMPF,1598 => 1613 (R),W
2,52ND ANNUAL WORLD OPEN,UNDER 2200,2,W,30198476,YAJUR J CHANDAR,1633 => 1678 (R),W
3,BCF SPRING FESTIVAL,OPEN,4,W,16634247,CHRISTINE NGUYEN,1674 => 1744 (R),W
4,12TH ANNUAL BOSTON CHESS CONGRESS!,UNDER 2100 SECTION,1,B,16988211,HARRY LI,1663 => 1652 (R),W
5,HARRY NELSON PILLSBURY MEMORIAL,OPEN,2,W,30347417,MR. TOMMY KOZLEK IV,1646 => 1627 (R),W
6,82ND NEW ENGLAND OPEN,UNDER 2000,1,W,30036635,ALBERT DONG,1689 => 1661 (R),W
7,82ND NEW ENGLAND OPEN,UNDER 2000,6,B,16388220,STEVEN ZIANG FENG,1687 => 1700 (R),W
8,53RD ANNUAL CONTINENTAL OPEN!,UNDER 1700 SECTION,4,W,16715527,MAXIM KLEMPF,1668 => 1649 (R),D
2,BARRY S. SPIEGEL CUP,ELEMENTARY SCHOOL,1,W,16634247,CHRISTINE NGUYEN,1744 => 1731 (R),W
3,BCF SPRING FESTIVAL,OPEN,1,W,16646805,SHOURI RAO MOSALIGANTI,1717 => 1725 (R),W
4,YEAR END QUADS,QUAD 2,2,B,12879249,RAJDEEP SHARMA,1780 => 1767 (R),D
5,88TH GREATER BOSTON OPEN,U2200,2,W,16918131,PARINYA JAIN,1777 => 1770 (R),D
6,88TH GREATER BOSTON OPEN,U2200,4,W,30350651,ARTHUR ZHOU,1766 => 1745 (R),W
7,82ND NEW ENGLAND OPEN,UNDER 2000,2,W,30359466,CHARLIE CRESWELL,1795 => 1783 (R),W
8,82ND NEW ENGLAND OPEN,UNDER 2000,4,B,16096060,JERICHO D. CARLSON,1748 => 1769 (R),L
9,82ND NEW ENGLAND OPEN,UNDER 2000,5,W,12471987,GEORGE WILFRED DUVAL,1749 => 1703 (R),W
10,53RD ANNUAL CONTINENTAL OPEN!,UNDER 1700 SECTION,1,W,12877246,DAVID W MARTIN,1748 => 1670 (R),W
2,92ND MASSACHUSETTS OPEN,CHAMPIONSHIP,2,B,16096060,JERICHO D. CARLSON,1842 => 1856 (R),W
3,BCF SPRING FESTIVAL,OPEN,3,W,30429367,SIMON PAYNE,1832 => 1841 (R),W
4,BIG MONEY SWISS,OPEN,1,B,30036635,ALBERT DONG,1823 => 1827 (R),W
5,YEAR END QUADS,QUAD 2,1,W,12454998,STEPHEN GRADIJAN,1860 => 1850 (R),W
6,82ND NEW ENGLAND OPEN,UNDER 2000,3,B,14159528,MAXWELL HELLER BENNETT,1895 => 1898 (R),L
2,2025 WORLD AMATEUR TEAM TOURNAMENT,WORLD AMATEUR TEAM 2025,1,B,10587131,JEFFREY A GELMAN,1900 => 1900 (R),W
3,2025 WORLD AMATEUR TEAM TOURNAMENT,WORLD AMATEUR TEAM 2025,3,B,30053068,MARK LEO KOGAN,1937 => 1908 (R),W
4,13TH ANNUAL BOSTON CHESS CONGRESS,PREMIER SECTION!,2,W,17348162,RAY XUE,1982 => 2002 (R),L
5,52ND ANNUAL WORLD OPEN,UNDER 2200,1,B,12547003,WILBERT ALEXANDER BROWN,1908 => 1903 (R),W
6,BCF BIG MONEY SWISS,OPEN,1,W,16792584,SHWAAS PATIL,1943 => 1953 (R),W
7,BCF BIG MONEY SWISS,OPEN,4,B,30154455,ROYCE ZHANG,1997 => 2002 (R),W
8,BARRY S. SPIEGEL CUP,ELEMENTARY SCHOOL,2,B,30158113,FRANK ZHONGTIAN CAO,1944 => 1935 (R),W
9,12TH ANNUAL BOSTON CHESS CONGRESS!,UNDER 2100 SECTION,4,W,17133074,ROCKY WANG,1903 => 1932 (R),W
10,12TH ANNUAL BOSTON CHESS CONGRESS!,UNDER 2100 SECTION,5,B,30425013,KEVIN ZHAO,1979 => 1996 (R),D
11,YEAR END QUADS,QUAD 2,3,W,30359466,CHARLIE CRESWELL,1994 => 2005 (R),D
12,4TH BOSTON ELITE THANKSGIVING FIDE,PREMIER,1,B,16543002,RAYHAN RIAZ,1983 => 1963 (R),L
13,4TH BOSTON ELITE THANKSGIVING FIDE,PREMIER,2,W,16099404,HRISHIKESH SAI VEDULA,1956 => 1966 (R),L
14,BCF FALL FESTIVAL,OPEN,5,W,15110208,JOHN ARCHIBALD,1984 => 1957 (R),W
2,2025 WORLD AMATEUR TEAM TOURNAMENT,WORLD AMATEUR TEAM 2025,2,W,17106686,DOMINIC NATHAN PARAGUA,2095 => 2118 (R),D
3,13TH ANNUAL BOSTON CHESS CONGRESS,PREMIER SECTION!,1,B,16921202,ERIC CHENG,2084 => 2052 (R),W
4,13TH ANNUAL BOSTON CHESS CONGRESS,PREMIER SECTION!,3,B,13958197,DAVID MCCABE,2055 => 2053 (R),D
5,13TH ANNUAL BOSTON CHESS CONGRESS,PREMIER SECTION!,4,W,16096060,JERICHO D. CARLSON,2020 => 2023 (R),W
6,13TH ANNUAL BOSTON CHESS CONGRESS,PREMIER SECTION!,5,B,15214147,HOLDEN CHALFANT,2018 => 2037 (R),W
7,2024 U.S. MASTERS CHESS CHAMPIONSHIP,2024 US MASTERS,2,B,17349625,ZACHARY HANKUN LIU,2069 => 2039 (R),W
8,89TH GREATER BOSTON OPEN,PREMIER,1,B,16899496,CORIN GARTENLAUB,2041 => 2025 (R),W
9,89TH GREATER BOSTON OPEN,PREMIER,2,W,15922026,FRANKLIN PHILLIP LEWIS,2033 => 2065 (R),W
10,BIG MONEY SWISS,PLAY UP CHALLENGE,4,W,30264362,SHAWN XU,2080 => 2071 (R),W
11,54TH ANNUAL CONTINENTAL OPEN,PREMIER,2,B,15922026,FRANKLIN PHILLIP LEWIS,2038 => 2036 (R),D
12,54TH ANNUAL CONTINENTAL OPEN,PREMIER,3,W,30221502,ZACHARY PAN,2043 => 2050 (R),D
13,54TH ANNUAL CONTINENTAL OPEN,PREMIER,4,B,30272851,IAN BROIHIER,2061 => 2064 (R),W
14,54TH ANNUAL CONTINENTAL OPEN,PREMIER,5,W,14958088,DAVID KATSMAN,2062 => 2060 (R),W
15,92ND MASSACHUSETTS OPEN,CHAMPIONSHIP,4,B,15770981,KELSEY LIU,2091 => 2107 (R),L
16,BARRY S. SPIEGEL CUP,ELEMENTARY SCHOOL,3,W,30425013,KEVIN ZHAO,2054 => 2069 (R),L
17,BARRY S. SPIEGEL CUP,ELEMENTARY SCHOOL,4,B,30264362,SHAWN XU,2094 => 2077 (R),D
18,BIG MONEY SWISS,OPEN,2,W,30264362,SHAWN XU,2054 => 2052 (R),W
