,Event,Section,round,color,Oponent USCF,Oponent name,Rating,Result
2,DCC FALL CLASSIC 2023,U1600,5,B,31475075,GREG WHEELER JR.,Unr. => 1585 (R),W
3,2023 COLORADO OPEN,U1600,2,B,31401313,KIRK ANDERSON,Unr. => 1458 (R),W
4,2022 WINTER SPRINGS OPEN,U1400,1,W,30866499,LUCAS PAYNE,Unr. => 396 (R),W
2,2024 COLORADO CLASS CHAMPIONSHIPS,EXTRA GAMES,1,W,31616747,DREW F BROOKINS,358 => 358 (R),W
2,2023 COLORADO CLASS CHAMPIONSHIPS,CLASS E/UNRATED (1199-),1,W,31092524,BRAYDEN GARNER,761 => 770 (R),W
2,SUMMIT SCHOOL OF CHESS #3,OPEN,1,,30460907,MATTHEW ROBERT KONERTH,966 => 960 (R),W
3,2023 COLORADO CLASS CHAMPIONSHIPS,CLASS E/UNRATED (1199-),2,B,30581110,DUY TUONG NGUYEN,975 => 1054 (R),W
2,AUGUST SWISS 90,OPEN,1,,12734216,GARY L VINES,1090 => 1090 (R),W
3,PIKES PEAK OPEN,OPEN,3,B,14812654,SHIRLEY HERMAN,1018 => 1006 (R),W
4,HCC JULY JAMBOREE SCHOLASTIC,QUAD1/SECTION 1,2,W,30295004,BRAYDEN WANG,1055 => 1109 (R),D
5,IHOP CHESS MAY 2022,OPEN,4,,17129234,KARTHIKA SAKTHISARAVANAN,1080 => 1036 (R),W
2,PIKES PEAK OPEN,OPEN,1,B,12629855,GERARDO CRUZ,1112 => 1144 (R),W
3,2023 COLORADO CLASS CHAMPIONSHIPS,CLASS E/UNRATED (1199-),3,W,16788310,TANISHKA TAGARE,1135 => 1153 (R),W
4,2023 COLORADO CLASS CHAMPIONSHIPS,CLASS E/UNRATED (1199-),4,B,12549665,JERRY L MEISNER,1186 => 1203 (R),W
5,2022 WINTER SPRINGS OPEN,U1400,3,W,30682222,KYLE RICHARD HENDRICKS,1119 => 1078 (R),W
6,IHOP CHESS MAY 2022,OPEN,2,,16909357,KAAVYA SAKTHISARAVANAN,1177 => 1262 (R),L
7,IHOP CHESS MAY 2022,OPEN,3,,16305137,JOSEPH J REININGER,1173 => 1237 (R),L
2,JULY SWISS 90,OPEN,1,,31612965,LLOYD GAUTHIER,1231 => 1260 (R),D
3,DCC FALL CLASSIC 2023,U1600,2,W,17312162,AUDREY LI,1251 => 1255 (R),W
4,DCC FALL CLASSIC 2023,U1600,3,B,31095147,CONNOR E TRAN,1263 => 1333 (R),W
5,2022 WINTER SPRINGS OPEN,U1400,2,B,30596924,LEIF PAUL MCFADDEN,1251 => 1406 (R),L
2,SUMMIT SCHOOL OF CHESS #3,OPEN,2,,30963361,KARL THOMAS KRULL,1366 => 1468 (R),W
3,DCC FALL CLASSIC 2023,U1600,1,B,15618142,GEORGE PESCHKE,1300 => 1300 (R),W
4,2023 COLORADO OPEN,U1600,3,W,31159751,MAXWELL DEYOUNG,1397 => 1443 (R),D
5,2023 COLORADO OPEN,U1600,4,B,30219783,MASON BRADY,1318 => 1311 (R),W
6,2023 COLORADO OPEN,U1600,5,W,15365026,NATHAN WOO,1392 => 1465 (R),D
7,2023 COLORADO OPEN,EXTRA GAMES,1,W,30776543,WESTON ALEXANDER TAYLOR,1339 => 1324 (R),W
8,HCC JULY ACTION QUADS,QUAD 3,2,W,16916292,MICHAEL CUPPERNULL,1362 => 1360 (R),W
9,HCC JULY JAMBOREE SCHOLASTIC,QUAD1/SECTION 1,1,B,30256936,TRUMAN KACZMARCZYK,1316 => 1331 (R),L
2,JULY SWISS 90,OPEN,3,,15385193,TRISTAN CRUZ,1404 => 1381 (R),W
3,JULY SWISS 90,OPEN,4,,17328111,ANTONY E BROWN,1481 => 1507 (R),W
