,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2024-06-02,7TH MASSACHUSETTS SENIOR OPEN (MA)1: OPEN,2505 =>2506,,
3,2024-05-27,92ND MASSACHUSETTS OPEN (MA)1: CHAMPIONSHIP,2504 =>2505,,
4,2024-05-18,1ST GREATER BAYSTATE SPRING CLASSIC (MA)2: OPEN,2502 =>2504,,
5,2024-05-11,2ND LOU GIARRUSSO CENTENNIAL CUP (RI)1: OPEN,2501 =>2502,2435 =>2437,
6,2024-05-04,5TH BROOKLINE BLITZ CHAMPIONSHIP (MA)1: CHAMPIONSHIP,,,2464 =>2472
7,2024-04-28,32ND MASSACHUSETTS G-60 CHAMPIONSHI (MA)1: CHAMPIONSHIP,2503 =>2501,2447 =>2435,
8,2024-04-21,BCF SPRING FESTIVAL (MA)1: OPEN,2503 =>2503,,
9,2024-04-12,BIG MONEY BLITZ (MA)1: OPEN,,,2483 =>2464
10,2024-04-07,1ST PENGUIN FESTIVAL (MA)1: EMPEROR (1600+ USCF),2499 =>2503,,
11,2024-03-16,3RD BROOKLINE BLITZ CHAMPIONSHIP (MA)1: CHAMPIONSHIP,,,2497 =>2483
12,2024-02-24,10TH QUEEN CITY TORNADO (NH)1: OPEN,2498 =>2499,2446 =>2447,
13,2024-01-20,BROOKLINE BLITZ CHAMPIONSHIP (MA)1: OPEN SECTION,,,2501 =>2497
14,2024-01-13,2024 CCA JANUARY CLASSIC ON ICC (PA)1: MAJOR,ONL:2321 =>2319,,
15,2024-01-07,12TH ANNUAL BOSTON CHESS CONGRESS! (MA)1: PREMIER SECTION!,2484 =>2498,,
16,2023-12-30,NEW HAVEN COUNTY & MERIDEN CITY CHA (CT)1: OPEN,2486 =>2484,2454 =>2446,
17,2023-12-16,1ST RAR OPEN (NH)1: PREMIER (1600+),2484 =>2486,2448 =>2454,
18,2023-12-10,HARRY NELSON PILLSBURY MEMORIAL (MA)1: OPEN,2484 =>2484,2450 =>2448,
19,2023-12-03,HARTFORD COUNTY & CITY CHAMPIONSHIP (CT)1: OPEN,2483 =>2484,2449 =>2450,
20,2023-11-26,4TH BOSTON ELITE THANKSGIVING FIDE (MA)1: PREMIER,2476 =>2483,,
21,2023-11-18,WINDHAM COUNTY & WILLIMANTIC CITY C (CT)1: OPEN,2475 =>2476,2448 =>2449,
22,2023-11-12,BCF FALL FESTIVAL (MA)2: OPEN,2473 =>2475,,
23,2023-11-04,OCEAN STATE CHESS PREMIER OPEN CHAMPIONSHIP (RI)1: OPEN,2472 =>2473,2446 =>2448,
24,2023-10-27,FRIDAY NIGHT BLITZ (MA)1: OPEN,,,2519 =>2501
25,2023-10-15,88TH GREATER BOSTON OPEN (MA)1: OPEN,2472 =>2472,2448 =>2446,
26,2023-10-07,2023 CCA OCTOBER OPEN ON ICC (PA)1: MAJOR,ONL:2324 =>2321,,
27,2023-09-23,2023 CCA SEPTEMBER ACTION ON ICC (PA)1: OPEN,ONL:2342 =>2324,,
28,2023-09-09,2023 CCA SEPTEMBER OPEN ON ICC (PA)1: MAJOR,ONL:2350 =>2342,,
29,2023-09-04,82ND NEW ENGLAND OPEN (MA)1: CHAMPIONSHIP,2466 =>2472,,
30,2023-08-19,2023 CCA AUGUST ACTION ON ICC (PA)1: OPEN,ONL:2347 =>2350,,
31,2023-07-22,2023 CCA JULY ACTION ON ICC (PA)1: OPEN,ONL:2346 =>2347,,
32,2023-07-16,53RD ANNUAL CONTINENTAL OPEN! (MA)1: PREMIER SECTION!,2486 =>2466,,
33,2023-07-08,2023 CCA JULY OPEN ON ICC (PA)1: MAJOR,ONL:2361 =>2346,,
34,2023-06-19,BOSTON ELITE SUMMER CLASSIC 2023 (MA)1: 1_PREMIER,2487 =>2486,,
35,2023-06-10,4TH WMCA QUICK CHESS CHAMPIONSHIP (MA)1: OPEN,,2446 =>2448,
36,2023-06-04,6TH MASSACHUSETTS SENIOR OPEN (MA)1: OPEN,2485 =>2487,,
37,2023-05-29,91ST MASSACHUSETTS OPEN (MA)1: CHAMPIONSHIP,2483 =>2485,,
38,2023-05-07,2023 CCA MAY OPEN ON ICC (PA)1: OPEN,ONL:2343 =>2361,,
39,2023-04-30,31ST MASSACHUSETTS G/60 CHAMPIONSHIP (MA)1: CHAMPIONSHIP,2482 =>2483,2448 =>2446,
40,2023-04-23,SPRING FESTIVAL (MA)1: OPEN,2488 =>2482,,
41,2023-04-01,2023 CCA APRIL OPEN ON ICC (PA)1: OPEN,ONL:2344 =>2343,,
42,2023-03-19,2023 ICC MARCH G60 (PA)1: MAJOR,ONL:2333 =>2344,,
43,2023-03-04,2023 CCA MARCH OPEN ON ICC (DE)1: OPEN,ONL:2340 =>2333,,
44,2023-02-25,9TH QUEEN CITY TORNADO (NH)1: OPEN,2486 =>2488,2446 =>2448,
45,2023-02-06,2023 CCA FEBRUARY OPEN ON ICC (PA)1: OPEN,ONL:2352 =>2340,,
46,2023-01-08,11TH ANNUAL BOSTON CHESS CONGRESS! (MA)1: PREMIER SECTION!,2475 =>2486,,
47,2022-12-03,2022 CCA DECEMBER OPEN ON ICC (PA)1: OPEN,ONL:2351 =>2352,,
48,2022-11-27,3RD_BOSTON_ELITE_THANKSGIVING_OPEN_ (MA)1: 1_PREMIER__FIDE_,2485 =>2475,,
49,2022-11-19,2022 NATIONAL CHESS CONGRESS ACTION (PA)1: MAJOR,ONL:2362 =>2351,,
50,2022-11-13,CIRCUS & SPECTACLE (MA)1: OPEN,2501 =>2485,,
51,2022-10-23,87TH GREATER BOSTON OPEN (MA)1: OPEN,2502 =>2501,2455 =>2446,
