,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-02-23,MASSACHUSETTS K-12 GIRLS QUALIFIER (MA)1: OPEN,1830** =>1790,1613** =>1566,
3,2025-02-15,CHESS FOR CHARITY CHAMPIONSHIP (RI)1: OPEN,1828 =>1830,1595 =>1613,
4,2025-02-07,BIG MONEY BLITZ (MA)1: OPEN,,,1706 =>1701
5,2025-02-02,UMASS WINTER CLASSIC (MA)1: OPEN,1818 =>1828,,
6,2025-01-28,JANUARY TUESDAY SWISS (MA)3: SIDE GAMES,1834 =>1818,1615 =>1595,
7,2025-01-28,JANUARY TUESDAY SWISS (MA)1: OPEN,1860 =>1834,,
8,2025-01-26,BLACK DIAMOND PREMIER (MA)2: U2000,1849 =>1860,1582 =>1615,
9,2025-01-18,BIG MONEY SWISS (MA)1: OPEN,1840 =>1849,1543 =>1582,
10,2025-01-11,JANUARY QUADS (MA)4: QUAD 4,1837 =>1840,,
11,2025-01-10,BIG MONEY BLITZ (MA)1: OPEN,,,1702 =>1706
12,2025-01-05,13TH ANNUAL BOSTON CHESS CONGRESS (MA)3: UNDER 1900 SECTION,1717 =>1837,,
13,2025-01-01,HERB HEALY (MA)1: RATED,1746 =>1717,1573 =>1543,
14,2024-12-29,49TH ANNUAL EASTERN OPEN! (VA)3: UNDER 1900 SECTION,1735 =>1746,,
15,2024-12-23,2024 NORTH AMERICAN YOUTH (VA)10: U10-GIRLS,1670 =>1735,,
16,2024-12-18,MCC - 2024-12 (MA)1: OPEN,1652 =>1670,,
17,2024-12-15,HARRY NELSON PILLSBURY MEMORIAL (MA)3: UNDER 2000,1679 =>1652,1608 =>1573,
18,2024-12-07,DECEMBER QUADS (MA)3: QUAD 3,1724 =>1679,,
19,2024-12-06,BIG MONEY BLITZ (MA)1: OPEN,,,1694 =>1702
20,2024-12-01,5TH_BOSTON_ELITE_THANKSGIVING_FIDE_ (MA)2: U2000,1740 =>1724,,
21,2024-11-27,MCC - 2024-11 (MA)1: OPEN,1728 =>1740,,
22,2024-11-23,1ST TANA OSCA STONEHILL OPEN (MA)1: OPEN CHAMPIONSHIP,1746 =>1728,1633 =>1608,
23,2024-11-17,$15 OPEN (MA)1: OPEN,1771 =>1746,1669 =>1633,
24,2024-11-16,2024 R.I. STATE CHAMPIONSHIP (RI)1: CHAMPIONSHIP,1770 =>1771,1674 =>1669,
25,2024-11-11,FALL FESTIVAL (MA)1: OPEN,1803 =>1770,,
26,2024-11-08,FALL FESTIVAL (MA)3: BLITZ,,,1732 =>1694
27,2024-11-03,2ND SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1825 =>1803,1706 =>1674,
28,2024-11-02,2024 NEW HAMPSHIRE AMATEUR CHAMPION (NH)1: CHAMPIONSHIP,1826 =>1825,1712 =>1706,
29,2024-10-30,MCC - 2024-10 (MA)1: OPEN,1826 =>1826,,
30,2024-10-26,HALLOWEEN SWISS (MA)1: OPEN,1820 =>1826,1708 =>1712,
31,2024-10-20,13TH ANNUAL HARTFORD OPEN! (CT)2: UNDER 2100 SECTION,1854 =>1820,,
32,2024-10-13,89TH GREATER BOSTON OPEN (MA)3: U2000,1800 =>1854,1616 =>1708,
33,2024-10-05,OCTOBER QUADS (MA)3: QUAD 3,1818 =>1800,,
34,2024-10-04,BIG MONEY BLITZ (MA)1: OPEN,,,1748 =>1732
35,2024-09-29,BIG MONEY SWISS (MA)1: OPEN,1704 =>1818,1466 =>1616,
36,2024-09-27,FRIDAY NIGHT BBQ & BLITZ (MA)1: OPEN,,,1728 =>1748
37,2024-09-25,MCC - 2024-09 (MA)1: OPEN,1700 =>1704,,
38,2024-09-22,1ST SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1715 =>1700,1478 =>1466,
39,2024-09-14,SEPTEMBER $15 OPEN (MA)1: OPEN,1709 =>1715,1477 =>1478,
40,2024-09-13,BIG MONEY BLITZ (MA)2: U1900,,,1731 =>1728
41,2024-09-07,SEPTEMBER QUADS (MA)2: QUAD 2,1668 =>1709,,
42,2024-09-02,83RD NEW ENGLAND OPEN (MA)2: UNDER 2000,1691 =>1668,,
43,2024-08-28,MCC - 2024-08 (MA)1: OPEN,1678 =>1691,,
44,2024-08-24,AUGUST ATTACK (MA)1: OPEN,1727 =>1678,1530 =>1477,
45,2024-08-18,54TH ANNUAL CONTINENTAL OPEN (MA)3: UNDER 1900,1690 =>1727,,
46,2024-08-03,QUADS (MA)5: QUAD 5-3,1726 =>1690,,
47,2024-08-02,BIG MONEY BLITZ (MA)1: OPEN,,,1719 =>1731
48,2024-07-31,MCC - 2024-07 (MA)1: OPEN,1713 =>1726,,
49,2024-07-28,29TH ANNUAL BRADLEY OPEN! (CT)3: UNDER 1800 SECTION,1720 =>1713,,
50,2024-07-24,ROBERT FORTIER MEMORIAL (MA)1: PREMIER,1693 =>1720,,
51,2024-07-20,BCF BIG MONEY SWISS (MA)2: U1900,1624 =>1693,1456 =>1530,
