,Event,Section,round,color,Oponent USCF,Oponent name,Rating,Result
2,2024 NEW HAMPSHIRE AMATEUR CHAMPION,CHAMPIONSHIP,3,W,32098847,NOAH TILLINGHAST,Unr. => 2032 (R),L
3,29TH ANNUAL BRADLEY OPEN!,UNDER 1800 SECTION,3,W,31967158,LUCAS D'AMICO,Unr. => 1414 (R),D
4,MAY $15 OPEN,UNDER,4,B,31883317,PETER PHILIP MARSTON,Unr. => 1240 (R),W
5,$15 OPEN,U1800,2,B,31646118,MAX DAN LI,Unr. => 1047 (R),W
6,SUMMER G80,U2000,1,B,31349578,FYNN H JUEPPNER,Unr. => 1654 (R),L
7,$15 OPEN JULY,OPEN,1,B,31333004,JAMES CHARLES BRENNICK JR.,Unr. => 1309 (R),L
8,WINTER TEAM CHALLENGE,U1800,2,W,31008552,NICHOLAS YING,Unr. => 774 (R),W
9,10TH ANNUAL BOSTON CHESS CONGRESS,UNDER 1250 SECTION,1,W,30322825,SAMUEL WOLSKI,Unr. => 457 (R),W
10,DECEMBER LEXINGTON RECREATION CHESS,U 1400,4,B,30383048,MR. JACKSON NOAH MOSS,Unr. => 932 (R),W
2,MARTIN LAINE MEMORIAL,OPEN,5,B,30491246,RAPHAEL BUCCHINO,114 => 217 (R),W
2,HURVITZ CUP,K-3,4,W,30982608,ALEXANDER WULF,377 => 387 (R),W
3,WESTFORD 22,OPEN,3,W,17217636,RIKHIL RAVULA,348 => 345 (R),W
4,WESTFORD 22,OPEN,4,B,17235084,ADAMYA GAUR,382 => 478 (R),W
5,WESTFORD 18,OPEN,5,B,17235084,ADAMYA GAUR,300 => 382 (R),W
2,WESTFORD28,WESTFORD28,2,W,30461297,JAYDEN ZHOU,451 => 547 (R),L
3,1ST SPIEGEL CUP QUALIFIER,GRADES K-3,4,B,30293250,ADITYA NAMBI,428 => 343 (R),W
2,HERB HEALY,RATED,4,W,30816000,JOHN ELSEY,557 => 557 (R),W
3,WAYNE STEADMAN MEMORIAL,OPEN,1,W,31243573,ALMYR LAKE BUMP,580 => 573 (R),W
4,HURVITZ CUP,GRADES K-5,1,B,30982608,ALEXANDER WULF,530 => 492 (R),W
5,$15 OPEN JULY,OPEN,4,W,31240759,SYCAMORE MUWEN YUAN,509 => 508 (R),W
6,WESTFORD 29,OPEN,2,B,30461297,JAYDEN ZHOU,547 => 643 (R),W
7,WESTFORD 27,OPEN,1,B,30325251,TIMOTHY RYAN,559 => 543 (R),W
8,WAYNE L STEADMAN MEMORIAL,U1600,5,W,30325251,TIMOTHY RYAN,543 => 529 (R),W
9,FMCA SCHOLASTICS #15,UNDER 1000,4,W,30220083,AARNAV VASHISHT,548 => 933 (R),L
10,1ST SPIEGEL CUP QUALIFIER,GRADES K-3,3,W,30238371,ZONGRUI ALVIN ZHOU,542 => 556 (R),L
2,1ST SPIEGEL CUP QUALIFER,GRADES K-3,1,B,30509403,MARCUS LI,666 => 652 (R),W
3,HURVITZ CUP,K-3,1,B,30995316,EMMA SUAREZ,616 => 615 (R),W
4,WESTFORD 21,OPEN,1,B,30325251,TIMOTHY RYAN,632 => 616 (R),W
5,MASSACHUSETTS G-60 CHAMPIONSHIP,UNDER 1200,3,B,17099364,DMITRY FILIPPOV,672 => 682 (R),W
6,WESTFORD 18,OPEN,7,W,16732165,ANISH SARAVANAN,619 => 614 (R),L
7,FMCA SCHOLASTICS #15,UNDER 1000,1,B,17142570,ETHAN XING JIE WOO,628 => 628 (R),W
8,1ST SPIEGEL CUP QUALIFIER,GRADES K-3,1,B,30226336,JONATHAN DENG,620 => 629 (R),W
2,2ND SPIEGEL CUP QUALIFIER,GRADES K-3,3,W,16878614,JEREMY FAN,729 => 955 (R),L
3,1ST SPIEGEL CUP QUALIFIER,GRADES K-3,2,W,30185788,SAMANYU ALLURI,793 => 823 (R),L
2,MASSACHUSETTS K-12 GIRLS QUALIFIER,OPEN,3,W,31369771,GAOCHUNXI LI,858 => 856 (R),W
3,MASSACHUSETTS K-12 GIRLS QUALIFIER,OPEN,4,W,31369771,GAOCHUNXI LI,858 => 856 (R),W
4,1ST TANA OSCA STONEHILL OPEN,OPEN CHAMPIONSHIP,3,W,31484222,JOSHUA JOHN MAJOR JR.,816 => 815 (R),W
5,1ST SPIEGEL CUP QUALIFER,GRADES K-3,4,B,30996969,TAMER SUVANBEKOV,889 => 917 (R),W
6,SUMMER SOLSTICE,U1800,4,W,12923396,LOREN GJATA,802 => 1029 (R),L
7,WESTFORD28,WESTFORD28,1,B,15591405,EMILY GAWBOY,888 => 884 (R),W
8,MASSACHUSETTS G-60 CHAMPIONSHIP,UNDER 1200,4,W,30261402,SANDEEP ALLURI,879 => 1049 (R),W
9,WESTFORD 18,OPEN,9,W,30305579,EMMA LINYUE ZHANG,882 => 859 (R),W
10,DECEMBER LEXINGTON RECREATION CHESS,U 1400,3,W,30258050,FELIX WU,831 => 859 (R),W
11,2ND SPIEGEL CUP QUALIFIER,GRADES K-3,2,B,30185788,SAMANYU ALLURI,823 => 769 (R),W
2,MAY $15 OPEN,UNDER,1,W,31646336,PATRICK JAMES COLLERAN,993 => 995 (R),W
3,TORNADO #139,U1800,2,B,30448964,CALDER REYNOLDS,940 => 1128 (R),L
4,MASSACHUSETTS GIRLS QUALIFIER,PREMIER,1,B,16129474,RAMAIZA SOHAIL,917 => 924 (R),W
5,WESTFORD 29,OPEN,1,W,15591405,EMILY GAWBOY,990 => 987 (R),W
6,WESTFORD 27,OPEN,3,B,15591405,EMILY GAWBOY,920 => 888 (R),W
7,87TH GREATER BOSTON OPEN,U1500,2,B,16187153,PETER KOUZNETSOV,982 => 1034 (R),D
8,WESTFORD 26,OPEN,3,W,30214182,NIRANJAN NAIR,926 => 1009 (R),L
9,52ND ANNUAL CONTINENTAL OPEN,UNDER 1400,3,B,17088714,ETHAN W ZHANG,934 => 1015 (R),L
10,ROBERT A FORTIER MEMORIAL,OPEN,2,B,16732165,ANISH SARAVANAN,998 => 1012 (R),D
11,WAYNE L STEADMAN MEMORIAL,U1600,2,B,30083131,XINAN LI,995 => 1144 (R),D
12,BARRY S. SPIEGEL CUP,PRIMARY SCHOOL,2,W,16878614,JEREMY FAN,959 => 1028 (R),W
