,Event,Section,round,color,Oponent USCF,Oponent name,Rating,Result
2,UMASS SPRING CLASSIC,OPEN,3,W,31745837,MARK C WILSON,Unr. => 1896 (R),D
3,$15 OPEN FEB 2022,OPEN,1,W,30469042,MR. WILLIAM WINSTON POST,Unr. => 816 (R),W
4,BCF HALLOWEEN OPEN,U1800,1,W,30321478,NATE MOORE,Unr. => 101 (R),W
5,1ST SPIEGEL CUP QUALIFIER,GRADES K-3,2,W,30305579,EMMA LINYUE ZHANG,Unr. => 656 (R),W
6,BCC SEPTEMBER QUADS,SMALL SWISS,2,B,30276813,MR. ANDREW CONOR DAVEY,Unr. => 1029 (R),W
7,FMCA SCHOLASTICS #13,UNDER 1200,3,B,30276870,ALON NIR,Unr. => 542 (R),W
8,80TH NEW ENGLAND OPEN,UNDER 1200,1,W,30261386,MR. JACOB S FREZZA,Unr. => 634 (R),W
9,FMCA OPEN HOUSE FREE TOURNAMENT,UNDER 400,3,W,30223221,ELLA ZHANG,Unr. => 656 (R),W
10,FMCA OPEN HOUSE FREE TOURNAMENT,UNDER 400,4,W,30219251,MICHAEL LIU WU,Unr. => 496 (R),W
2,GAIL S. LINGNER MEMORIAL,U1600,4,W,30491246,RAPHAEL BUCCHINO,114 => 114 (R),W
3,89TH MASSACHUSETTS OPEN,EXTRA 30,3,W,30240530,SOPHIA HARPER,102 => 102 (R),W
4,FMCA OPEN HOUSE FREE TOURNAMENT,UNDER 400,2,B,17103686,AMBER CAHOY,102 => 190 (R),W
2,FMCA SCHOLASTICS #11,UNDER 800,4,B,16964235,SIMENG LI CHEN,291 => 588 (R),L
2,HURVITZ CUP,GRADES K-5,4,B,17255265,JACOB MICHAEL LANDAU,388 => 367 (R),W
3,GUS GOSSELIN GRADE CHAMPIONSHIP,GRADES K-2,1,B,30265160,LAURA XU,352 => 375 (R),W
4,WESTFORD 17,OPEN,8,B,17235084,ADAMYA GAUR,309 => 300 (R),W
2,2ND SPIEGEL CUP QUALIFIER,GRADES K-3,1,W,30238371,ZONGRUI ALVIN ZHOU,466 => 573 (R),W
3,1ST SPIEGEL CUP QUALIFIER,GRADES K-3,1,B,30142191,ADARSH REDDY VENKANNAGARI,480 => 495 (R),W
4,89TH MASSACHUSETTS OPEN,K-3 U1200,2,W,30265160,LAURA XU,438 => 473 (R),W
5,80TH NEW ENGLAND OPEN,UNDER 1200,5,W,17308364,ABHIRAM BATCHU,493 => 673 (R),W
