,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
1,2023-12-17,2023 NATIONAL K-12 GRADE CHAMPIONSHIPS (FL)11: 2ND GRADE CHAMPIONSHIP,744 =>756,,
2,2023-11-04,SUMMIT SCHOOL OF CHESS #3 (CO)3: U1400,754 =>744,705 =>706,
3,2023-10-07,SUMMIT SCHOOL OF CHESS OCT TOURNEY (CO)2: U1000,786 =>754,725 =>705,
4,2023-08-19,2023 COLORADO ALL GIRLS SCHOLASTIC (CO)3: GRADES K-3,741 =>786,640 =>725,
5,2023-07-23,2023 DENVER OPEN (CO)2: U1400,687 =>741,,
6,2023-07-09,KINGS OF CHESS JULY-2023 (CO)3: K-12 DIVISION,692 =>687,643 =>640,
7,2023-05-14,2023 NATIONAL ELEMENTARY K-6 CHAMPIONSHIP (MD)12: K1 CHAMPIONSHIP,712 =>692,,
8,2023-04-30,2023 KCF ALL-GIRLS NATIONAL CHAMPIONSHIP (IL)6: UNDER 8,676 =>712,,
9,2023-04-08,SSC #8 (CO)4: U1000,695 =>676,663 =>643,
10,2023-02-18,PALS FEBRUARY CHESSTRAVAGANZA (CO)1: K- 8 DIVISION,720 =>695,684 =>663,
11,2023-02-12,2023 SCHOLASTIC STATE CHAMPIONSHIPS (CO)4: K-3,698 =>720,,
12,2023-02-04,SSC #6 (CO)4: U1000,613 =>698,600 =>684,
13,2023-01-14,SSC #5 (CO)4: U1000,599 =>613,591 =>600,
14,2022-11-19,KINGS OF CHESS NOVEMBER 2022 (CO)2: K-5 DIVISION,606 =>599,600 =>591,
15,2022-11-05,SSC #3 (CO)1: K-3,453 =>606,436 =>600,
16,2022-10-08,PALS OCTOBER CHESSTAVAGANZA (CO)1: K- 8 DIVISION,430 =>453,412 =>436,
17,2022-10-01,SSC #2 (CO)1: K-3,414 =>430,393 =>412,
18,2022-09-17,SSC #1 (CO)1: K-3RD,388 (P21) =>414,389 (P21) =>393,
19,2022-08-20,KING OF CHESS AUGUST (CO)1: K - 3 DIVISION,348 (P16) =>388 (P21),350 (P16) =>389 (P21),
20,2022-07-16,KING OF CHESS TOURNAMENT (CO)1: K-3,236 (P13) =>348 (P16),240 (P13) =>350 (P16),
21,2022-05-21,SUMMIT SCHOOL OF CHESS #9 (CO)1: K-3,135 (P8) =>236 (P13),139 (P8) =>240 (P13),
22,2022-04-16,2021-2022 SUMMIT SCHOOL OF CHESS SE (CO)6: K-3 (U800),103 (P4) =>135 (P8),110 (P4) =>139 (P8),
23,2022-01-08,DSCS #5 (CO)1: K-12 RATED,(Unrated) =>103 (P4),(Unrated) =>110 (P4),
