,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-01-20,57TH ANNUAL LIBERTY BELL OPEN! (PA)2: UNDER 2100 SECTION,1733** =>1728,,
3,2025-01-11,JANUARY QUADS (MA)5: QUAD 5,1730 =>1733,,
4,2025-01-05,13TH ANNUAL BOSTON CHESS CONGRESS (MA)3: UNDER 1900 SECTION,1737 =>1730,,
5,2024-12-23,2024 NORTH AMERICAN YOUTH (VA)11: U08-OPEN,1740 =>1737,,
6,2024-12-21,2024 NORTH AMERICAN YOUTH OPENBLITZ (VA)2: AMATEUR,,,1457 =>1445
7,2024-12-19,2024 NORTH AMERICAN YOUTH BLITZ (VA)6: U08-OPEN,,,1490 =>1457
8,2024-12-14,FMCA ASHLAND QUAD 20241214 (MA)1: QUAD A,1728 =>1740,1345 =>1446,
9,2024-12-08,2024 NATIONAL K-12 GRADE CHAMPIONSHIP (MD)11: 2ND GRADE CHAMPIONSHIP,1749 =>1728,,
10,2024-12-05,2024 K-12 BLITZ CHAMPIONSHIP (MD)2: K-6 BLITZ,,,1514 =>1490
11,2024-12-01,5TH_BOSTON_ELITE_THANKSGIVING_FIDE_ (MA)2: U2000,1649 =>1749,,
12,2024-11-24,FMCA ASHLAND GRAND OPENING NOVEMBER (MA)3: OPEN,1638 =>1649,1262 =>1345,
13,2024-11-23,1ST TANA OSCA STONEHILL OPEN (MA)1: OPEN CHAMPIONSHIP,1645 =>1638,1263 =>1262,
14,2024-11-11,FALL FESTIVAL (MA)2: U1900,1604 =>1645,,
15,2024-10-27,ORIGAMI OPEN (MA)4: EXTRA RATED GAMES,1615 =>1604,,
16,2024-10-27,ORIGAMI OPEN (MA)2: TANT (UNDER 1925),1594 =>1615,,
17,2024-10-20,13TH ANNUAL HARTFORD OPEN! (CT)3: UNDER 1800 SECTION,1462 =>1594,,
18,2024-10-13,89TH GREATER BOSTON OPEN (MA)3: U2000,1494 =>1462,1293 =>1263,
19,2024-09-22,1ST SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1528 =>1494,1331 =>1293,
20,2024-09-21,2024 CONNECTICUT OPEN (CT)2: U2100,1515 =>1528,1337 =>1331,
21,2024-09-02,83RD NEW ENGLAND OPEN (MA)2: UNDER 2000,1492 =>1515,,
22,2024-05-19,BARRY S. SPIEGEL CUP (MA)4: PRIMARY,1488 =>1492,1328 =>1337,
23,2024-05-11,2ND LOU GIARRUSSO CENTENNIAL CUP (RI)2: U1600,1338 =>1488,1124 =>1328,
24,2024-05-05,CHESS DE MAYO (NH)1: PREMIER (1600+),1328 =>1338,1109 =>1124,
25,2024-05-04,5TH BROOKLINE BLITZ CHAMPIONSHIP (MA)2: U1600,,,1336 =>1514
26,2024-04-28,2024 ELEMENTARY CHAMPIONSHIP (OH)12: K1 CHAMPIONSHIP,1260 =>1328,,
27,2024-04-25,2024 NATIONAL ELEMENTARY BLITZ CHAM (OH)2: K3 BLITZ CHAMPIONSHIP,,,1424 =>1336
28,2024-04-14,4TH SPIEGEL CUP QUALIFIER (MA)3: GRADES K-3,1311 =>1260,1165 =>1109,
29,2024-03-31,16TH ANNUAL OPEN AT FOXWOODS (CT)6: UNDER 1400,1219 =>1311,,
30,2024-03-10,56TH NY STATE SCHOLASTIC CHAMPIONSHIPS! (NY)13: K-1 CHAMPIONSHIP!,1239 =>1219,,
31,2024-03-03,3RD SPIEGEL CUP QUALIFIER (MA)3: GRADES K-3,1237 =>1239,1159 =>1165,
32,2024-02-24,10TH QUEEN CITY TORNADO (NH)3: UNDER 1400,1307 =>1237,1223 =>1159,
