,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-01-19,STLCC EDWARD JONES OPEN 2025 (MO)1: OPEN,2328** =>2317,,
3,2025-01-11,SATURDAY NIGHT BLITZ 1.11.2025 STLCC (MO)1: OPEN,,,2310 =>2314
4,2025-01-10,FRIDAY NIGHT QUADS (MO)1: QUAD 1,,2216 =>2207,
5,2025-01-04,SATURDAY NIGHT BLITZ (MO)1: OPEN,,,2300 =>2310
6,2025-01-03,FRIDAYQUADS 1-3-25 (MO)1: QUAD 1,,2205 =>2216,
7,2024-12-21,SATURDAY NIGHT BLITZ 12-21-24 (MO)1: OPEN,,,2305 =>2300
8,2024-12-20,FRIDAY NIGHT QUADS (MO)2: QUAD 2,,2198 =>2205,
9,2024-12-15,STLCC GATEWAY OPEN 2024 (MO)1: OPEN,2331 =>2328,,
10,2024-12-07,SATURDAY NIGHT BLITZ (MO)1: OPEN,,,2300 =>2305
11,2024-12-07,2024 SAINT LOUIS MASTERS (MO)1: SWISS,2346 =>2331,,
12,2024-12-01,2024 U.S. MASTERS CHESS CHAMPIONSHIP (NC)1: 2024 US MASTERS,2349 =>2346,,
13,2024-11-30,2024 NORTH CAROLINA OPEN (NC)11: BLITZ CHAMPIONSHIP,,,2293 =>2300
14,2024-11-23,SATURDAY NIGHT BLITZ (MO)1: OPEN,,,2295 =>2293
15,2024-11-22,FRIDAY NIGHT QUADS (MO)1: QUAD 1,,2196 =>2198,
16,2024-11-17,33RD ANNUAL KINGS ISLAND OPEN (OH)1: MAJOR SECTION!,2351 =>2349,,
17,2024-11-09,SATURDAY NIGHT BLITZ (MO)1: OPEN,,,2288 =>2295
18,2024-11-02,SATURDAY NIGHT BLITZ (MO)1: OPEN,,,2303 =>2288
19,2024-10-27,STLCC AUTUMN OPEN 2024 (MO)1: OPEN,2349 =>2351,,
20,2024-10-19,SATURDAY NIGHT BLITZ (MO)1: OPEN,,,2285 =>2303
21,2024-10-18,FRIDAY NIGHT QUADS (MO)1: QUAD 1,,2181 =>2196,
22,2024-10-18,2024 SPICE CUP (MO)1: OPEN,2343 =>2349,,
23,2024-10-12,SATURDAY NIGHT BLITZ (MO)1: OPEN,,,2292 =>2285
24,2024-10-11,FRIDAY NIGHT QUADS (MO)1: QUAD 1,,2171 =>2181,
25,2024-10-05,SATURDAY NIGHT BLITZ (MO)1: OPEN,,,2295 =>2292
26,2024-09-27,FRIDAY NIGHT QUADS (MO)1: QUAD 1,,2164 =>2171,
27,2024-09-21,2024 WASHU FALL BLITZ (MO)1: OPEN,,,2292 =>2295
28,2024-09-15,SAINT LOUIS CITY OPEN 2024- OPEN SE (MO)1: OPEN SECTION,2334 =>2343,,
29,2024-09-14,SATURDAY NIGHT BLITZ (MO)1: OPEN,,,2320 =>2292
30,2024-09-08,1000GM ST. LOUIS IM NORM -5 (MO)1: IM NORM,2305 =>2334,,
31,2024-08-31,SATURDAY NIGHT BLITZ! (MO)1: OPEN,,,2310 =>2320
32,2024-08-30,FRIDAY NIGHT QUADS (MO)1: QUAD 1,,2147 =>2164,
33,2024-08-25,METRO CLASS CHAMPIONSHIP 2024 (MO)1: OPEN SECTION (FIDE RATED),2305 =>2305,,
34,2024-08-17,SATURDAY NIGHT BLITZ (MO)1: OPEN,,,2317 =>2310
35,2024-08-16,FAQ08162024 (MO)1: QUAD 1,,2146 =>2147,
36,2024-08-10,SATURDAY NIGHT BLITZ (MO)1: OPEN,,,2327 =>2317
37,2024-08-04,124TH ANNUAL U. S. OPEN CHESS CHAMP (VA)1: MERGED,2303 =>2305,,
38,2024-08-03,2024 US NATIONAL BLITZ CHAMPIONSHIP (VA)1: NATIONAL BLITZ,,,2348 =>2327
39,2024-08-01,US OPEN THURSDAY QUADS (VA)1: QUAD A,2308 =>2303,2154 =>2146,
40,2024-07-31,2024 US NATIONAL G/15 CHAMPIONSHIP (VA)1: 2024 US NATIONAL G/15 CHAMPION,,2131 =>2154,
41,2024-07-30,US OPEN TUESDAY QUADS (VA)1: QUAD A,2323 =>2308,2161 =>2131,
42,2024-07-29,US OPEN MONDAY QUADS (VA)1: QUAD A,2315 =>2323,2143 =>2161,
43,2024-07-28,2024 US OPEN WEEKEND SWISS (VA)1: WEEKEND SWISS,2318 =>2315,2148 =>2143,
44,2024-07-21,2024 JEFFERSON CITY OPEN (MO)1: OPEN,2333 =>2318,2174 =>2148,
45,2024-07-06,SATURDAY NIGHT BLITZ (MO)1: OPEN,,,2334 =>2348
46,2024-06-29,SATURDAY NIGHT BLITZ (MO)1: OPEN,,,2328 =>2334
47,2024-06-23,STEVE BANGE MEMORIAL 2024 (MO)1: OPEN SECTION (FIDE RATED),2354 =>2333,,
48,2024-06-15,SATURDAY NIGHT BLITZ (MO)1: OPEN,,,2358 =>2328
49,2024-06-08,SATURDAY NIGHT BLITZ (MO)1: OPEN,,,2354 =>2358
50,2024-06-07,FRIDAY NIGHT QUADS (MO)1: QUAD 1,,2164 =>2174,
51,2024-06-02,SHOW ME CLASSIC 2024 (MO)1: OPEN SECTION (FIDE RATED),2365 =>2354,,
