,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-01-05,13TH ANNUAL BOSTON CHESS CONGRESS (MA)2: UNDER 2100 SECTION,1691 =>1770,,
3,2025-01-04,11TH BOSTON CONGRESS BLITZ! (MA)1: PRIZES RAISED 90%!,,,1686 =>1664
4,2024-12-30,34TH NORTH AMERICAN OPEN (NV)2: UNDER 2300,1714 =>1691,,
5,2024-12-29,2024 NORTH AMERICAN BLITZ (NV)1: OPEN,,,1750 =>1686
6,2024-12-06,BIG MONEY BLITZ (MA)1: OPEN,,,1562 =>1750
7,2024-11-11,FALL FESTIVAL (MA)1: OPEN,1702 =>1714,,
8,2024-11-08,FALL FESTIVAL (MA)3: BLITZ,,,1577 =>1562
9,2024-11-02,2024 NEW HAMPSHIRE AMATEUR CHAMPION (NH)2: U1750,1698 =>1702,1396 =>1408,
10,2024-10-27,28TH ANNUAL EASTERN CHESS CONGRESS! (NJ)2: UNDER 2100 SECTION,1600 =>1698,,
11,2024-10-26,11TH ANNUAL EASTERN CONGRESS BLITZ! (NJ)1: TOO GOOD!,,,1666 =>1577
12,2024-09-27,FRIDAY NIGHT BBQ & BLITZ (MA)1: OPEN,,,1738 =>1666
13,2024-09-13,BIG MONEY BLITZ (MA)2: U1900,,,1631 =>1738
14,2024-07-28,29TH ANNUAL BRADLEY OPEN! (CT)2: UNDER 2100 SECTION,1575 =>1600,,
15,2024-07-27,10TH(?!) BRADLEY OPEN BLITZ! (CT)1: 11:30 PM GUARANTEED!,,,1639 =>1631
16,2024-07-20,BCF BIG MONEY SWISS (MA)2: U1900,1576 =>1575,1413 =>1396,
17,2024-07-19,FRIDAY NIGHT BLITZ (MA)1: OPEN,,,1575 =>1639
18,2024-06-09,32ND ANNUAL EASTERN CLASS (CT)4: CLASS B,1608 =>1576,,
19,2024-06-08,10TH EASTERN CLASS BLITZ! (CT)1: REPORT AT 11,,,1512 =>1575
20,2024-05-27,92ND MASSACHUSETTS OPEN (MA)2: UNDER 2100,1607 =>1608,,
21,2024-05-26,MASSACHUSETTS BLITZ CHAMPIONSHIP (MA)1: BLITZ,,,1512 =>1512
22,2024-04-28,32ND MASSACHUSETTS G-60 CHAMPIONSHI (MA)2: U2200,1462 =>1607,1234 =>1413,
23,2024-04-26,FRIDAY NIGHT BBQ & BLITZ (MA)1: OPEN,,,1519 =>1512
24,2024-04-14,4TH SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1454 =>1462,1224 =>1234,
25,2024-04-12,BIG MONEY BLITZ (MA)1: OPEN,,,1488 =>1519
26,2024-03-31,16TH ANNUAL OPEN AT FOXWOODS (CT)2: UNDER 2200,1478 =>1454,,
27,2024-03-30,15TH ANNUAL BLITZ AT FOXWOODS (CT)1: OPEN,,,1502 =>1488
28,2024-03-03,3RD SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1509 =>1478,1241 =>1224,
29,2024-03-02,BCF MARCH QUADS (MA)3: QUAD 3,1539 =>1509,,
30,2024-02-17,NASHUA GRAND PRIX TORNADO (NH)2: UNDER 2025,1484 =>1539,1143 =>1241,
31,2024-01-20,BROOKLINE BLITZ CHAMPIONSHIP (MA)1: OPEN SECTION,,,1448 =>1502
32,2024-01-07,12TH ANNUAL BOSTON CHESS CONGRESS! (MA)2: UNDER 2100 SECTION,1436 =>1484,,
33,2024-01-06,10TH ANNUAL BOSTON CONGRESS BLITZ! (MA)1: PRIZES RAISED 95%!,,,1415 =>1448
34,2023-11-19,2ND SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1479 =>1436,1179 =>1143,
35,2023-11-12,BCF FALL FESTIVAL (MA)3: U1900,1512 =>1479,,
36,2023-11-10,NOVEMBER BIG MONEY BLITZ (MA)1: OPEN,,,1328 =>1415
37,2023-10-29,27TH ANNUAL EASTERN CHESS CONGRESS! (NJ)2: UNDER 2100 SECTION,1528 =>1512,,
38,2023-10-28,10TH ANNUAL EASTERN CONGRESS BLITZ! (NJ)1: OPEN!,,,1330 =>1328
39,2023-10-01,1ST SPIEGEL CUP QUALIFER (MA)2: GRADES K-5,1508 =>1528,1086 =>1179,
40,2023-09-04,82ND NEW ENGLAND OPEN (MA)2: UNDER 2000,1443 =>1508,,
41,2023-09-03,NEW ENGLAND BLITZ CHAMPIOSHIP (MA)1: BLITZ,,,1330 =>1330
42,2023-07-30,28TH BRADLEY OPEN (CT)3: UNDER 1800-,1436 =>1443,,
43,2023-07-29,BRADLEY OPEN BLITZ (CT)1: BLITZ!,,,1129 =>1330
44,2023-07-23,72ND NEW HAMPSHIRE OPEN (NH)2: UNDER 1950,1431 =>1436,,
45,2023-07-21,FRIDAY NIGHT BLITZ (MA)1: OPEN,,,1100 =>1129
46,2023-07-16,53RD ANNUAL CONTINENTAL OPEN! (MA)3: UNDER 1900 SECTION,1298 =>1431,,
47,2023-06-25,17TH ANNUAL PHILADELPHIA OPEN (PA)3: UNDER 1800,1199 =>1298,,
48,2023-06-24,PHILADELPHIA OPEN BLITZ 6-24-2023 (PA)1: OPEN,,,911 =>1100
49,2023-05-29,91ST MASSACHUSETTS OPEN (MA)7: EXTRA,1204 =>1199,,
50,2023-05-29,91ST MASSACHUSETTS OPEN (MA)3: UNDER 1800,1211 =>1204,,
51,2023-04-30,31ST MASSACHUSETTS G/60 CHAMPIONSHIP (MA)9: EXTRA,1181 =>1211,1050 =>1086,
