,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-01-18,BIG MONEY SWISS (MA)1: OPEN,1942** =>1932,1718** =>1711,
3,2024-12-30,34TH NORTH AMERICAN OPEN (NV)2: UNDER 2300,1962 =>1942,,
4,2024-12-29,2024 NORTH AMERICAN BLITZ (NV)2: UNDER 2000,,,1954 =>1912
5,2024-12-18,MCC - 2024-12 (MA)1: OPEN,1970 =>1962,,
6,2024-12-01,5TH_BOSTON_ELITE_THANKSGIVING_FIDE_ (MA)1: PREMIER,1991 =>1970,,
7,2024-11-27,MCC - 2024-11 (MA)1: OPEN,1938 =>1991,,
8,2024-10-30,MCC - 2024-10 (MA)1: OPEN,1953 =>1938,,
9,2024-10-13,89TH GREATER BOSTON OPEN (MA)2: U2200,1878 =>1953,1592 =>1718,
10,2024-09-29,BIG MONEY SWISS (MA)1: OPEN,1904 =>1878,1617 =>1592,
11,2024-09-25,MCC - 2024-09 (MA)1: OPEN,1902 =>1904,,
12,2024-09-02,83RD NEW ENGLAND OPEN (MA)1: CHAMPIONSHIP,1879 =>1902,,
13,2024-09-01,NEW ENGLAND BLITZ CHAMPIONSHIP (MA)1: BLITZ,,,1865 =>1954
14,2024-08-28,MCC - 2024-08 (MA)1: OPEN,1874 =>1879,,
15,2024-08-18,54TH ANNUAL CONTINENTAL OPEN (MA)2: UNDER 2100,1945 =>1874,,
16,2024-08-02,BIG MONEY BLITZ (MA)1: OPEN,,,1835 =>1865
17,2024-07-31,MCC - 2024-07 (MA)1: OPEN,1892 =>1945,,
18,2024-07-12,BIG MONEY BLITZ (MA)1: OPEN,,,1791 =>1835
19,2024-07-07,35TH WORLD OPEN BLITZ CHAMPIONSHIP (PA)1: OPEN,,,1819 =>1791
20,2024-07-07,52ND ANNUAL WORLD OPEN (PA)3: UNDER 2000,1923 =>1892,,
21,2024-06-26,MCC - 2024-06 (MA)1: OPEN,1927 =>1923,,
22,2024-06-22,BCF BIG MONEY SWISS (MA)1: OPEN,1960 =>1927,1638 =>1617,
23,2024-05-31,BIG MONEY BLITZ (MA)1: OPEN,,,1886 =>1819
24,2024-05-29,MCC - 2024-05 (MA)1: OPEN,1907 =>1960,,
25,2024-05-27,92ND MASSACHUSETTS OPEN (MA)1: CHAMPIONSHIP,1917 =>1907,,
26,2024-05-26,MASSACHUSETTS BLITZ CHAMPIONSHIP (MA)1: BLITZ,,,1856 =>1886
27,2024-05-19,BARRY S. SPIEGEL CUP (MA)3: ELEMENTARY SCHOOL,1915 =>1917,,
28,2024-05-04,5TH BROOKLINE BLITZ CHAMPIONSHIP (MA)1: CHAMPIONSHIP,,,1859 =>1856
29,2024-05-03,BIG MONEY BLITZ (MA)1: OPEN,,,1877 =>1859
30,2024-04-28,32ND MASSACHUSETTS G-60 CHAMPIONSHI (MA)2: U2200,1861 =>1915,1520 =>1638,
31,2024-04-26,FRIDAY NIGHT BBQ & BLITZ (MA)1: OPEN,,,1900 =>1877
32,2024-04-24,MCC - 2024-04 (MA)1: OPEN,1852 =>1861,,
33,2024-04-12,BIG MONEY BLITZ (MA)1: OPEN,,,1912 =>1900
34,2024-03-31,16TH ANNUAL OPEN AT FOXWOODS (CT)2: UNDER 2200,1845 =>1852,,
35,2024-03-30,15TH ANNUAL BLITZ AT FOXWOODS (CT)1: OPEN,,,1927 =>1912
36,2024-03-27,MCC - 2024-03 (MA)1: OPEN,1822 =>1845,,
37,2024-03-16,3RD BROOKLINE BLITZ CHAMPIONSHIP (MA)1: CHAMPIONSHIP,,,1865 =>1927
38,2024-03-08,BIG MONEY BLITZ (MA)1: OPEN,,,1796 =>1865
39,2024-02-28,MCC - 2024-02 (MA)1: OPEN,1780 =>1822,,
40,2024-02-17,NASHUA GRAND PRIX TORNADO (NH)1: PREMIER (1600+),1803 =>1780,1542 =>1520,
41,2024-02-09,FRIDAY NIGHT BLITZ (MA)1: OPEN,,,1808 =>1796
42,2024-02-04,SUNDAY MORNING ACTION (MA)1: OPEN,1809 =>1803,1531 =>1542,
43,2024-02-02,BIG MONEY BLITZ (MA)1: OPEN,,,1768 =>1808
44,2024-01-31,MCC - 2024-01 (MA)1: OPEN,1755 =>1809,,
45,2024-01-20,BROOKLINE BLITZ CHAMPIONSHIP (MA)1: OPEN SECTION,,,1806 =>1768
46,2024-01-12,BIG MONEY BLITZ (MA)1: OPEN,,,1819 =>1806
47,2024-01-07,12TH ANNUAL BOSTON CHESS CONGRESS! (MA)2: UNDER 2100 SECTION,1786 =>1755,,
48,2023-12-30,NEW HAVEN COUNTY & MERIDEN CITY CHA (CT)1: OPEN,1804 =>1786,1535 =>1531,
49,2023-12-27,MCC - 2023-12 (MA)1: OPEN,1752 =>1804,,
50,2023-12-22,FRIDAY NIGHT BLITZ (MA)1: OPEN,,,1782 =>1819
51,2023-12-15,FRIDAY NIGHT BLITZ (MA)1: OPEN,,,1785 =>1782
