,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2024-06-02,MASSACHUSETTS GIRLS CHAMPIONSHIP (MA)1: CHAMPIONSHIP,1502 =>1495,,
3,2024-04-21,BCF SPRING FESTIVAL (MA)2: U1800,1446 =>1502,,
4,2024-04-14,2024 KCF ALL-GIRLS NATIONAL CHAMPIONSHIPS (IL)2: UNDER 14,1395 =>1446,,
5,2024-04-12,2024 KCF ALL-GIRLS NATIONAL BLITZ (IL)1: BLITZ - 5 DOUBLE-ROUND G/5;D0,,,1190 =>1203
6,2024-04-07,APRIL SUNDAY MORNING ACTION (MA)1: OPEN,1364 =>1395,1289 =>1306,
7,2024-03-31,16TH ANNUAL OPEN AT FOXWOODS (CT)5: UNDER 1600,1405 =>1364,,
8,2024-03-24,BLACK DIAMOND PREMIER (MA)1: OPEN,1350 =>1405,1231 =>1289,
9,2024-03-10,56TH NY STATE SCHOLASTIC CHAMPIONSHIPS! (NY)5: K-8 UNDER 1600,1344 =>1350,,
10,2024-03-03,3RD SPIEGEL CUP QUALIFIER (MA)1: GRADES 6-8,1354 =>1344,1250 =>1231,
11,2024-02-11,WINTER TEAM CHALLENGE (MA)1: U1800,1393 =>1354,1293 =>1250,
12,2024-01-21,GUS GOSSELIN GRADE CHAMPIONSHIP (MA)2: GRADES 6-8,1368 =>1393,1276 =>1293,
13,2024-01-07,12TH ANNUAL BOSTON CHESS CONGRESS! (MA)4: UNDER 1700 SECTION,1378 =>1368,,
14,2023-12-17,2023 NATIONAL K-12 GRADE CHAMPIONSHIPS (FL)6: 7TH GRADE CHAMPIONSHIP,1322 =>1378,,
15,2023-12-14,2023 K-12 BLITZ CHAMPIONSHIP (FL)1: K-12 BLITZ,,,1177 =>1190
16,2023-11-26,4TH BOSTON ELITE THANKSGIVING FIDE (MA)2: U2000,1380 =>1322,,
17,2023-11-18,$15 OPEN (MA)2: U1800,1367 =>1380,1261 =>1276,
18,2023-11-05,MASSACHUSETTS GIRLS QUALIFIER (MA)1: PREMIER,1356 =>1367,1281 =>1261,
19,2023-10-15,88TH GREATER BOSTON OPEN (MA)6: U1400,1102 =>1356,996 =>1281,
20,2023-10-01,1ST SPIEGEL CUP QUALIFER (MA)4: U1200,1082 =>1102,947 =>996,
21,2023-09-04,82ND NEW ENGLAND OPEN (MA)4: UNDER 1500,1087 =>1082,,
22,2023-08-27,OPEN (MA)1: OPEN,1064 =>1087,911 =>947,
23,2023-08-18,PAN AMERICAN YOUTH 2023 (IL)8: U12 GIRLS,1089 =>1064,,
24,2023-08-14,PAN AMERICAN YOUTH 2023 BLITZ (IL)4: UNDER 12,,,1103 =>1177
25,2023-04-30,2023 KCF ALL-GIRLS NATIONAL CHAMPIONSHIP (IL)4: UNDER 12,1061 =>1089,,
26,2023-04-28,2023 KFC ALL-GIRLS NATIONAL BLITZ (IL)1: BLITZ,,,1158 =>1103
27,2023-04-23,SPRING FESTIVAL (MA)2: U1900,1059 =>1061,,
28,2023-04-16,FMCA SCHOLASTICS #29 (MA)1: UNDER 1500,1126 =>1059,970 =>911,
29,2023-04-02,4TH SPIEGEL CUP QUALIFIER (MA)1: GRADES 6-8,1125 =>1126,973 =>970,
30,2023-03-19,MASSACHUSETTS GIRLS QUALIFIER (MA)1: PREMIER,1114 =>1125,954 =>973,
31,2023-03-12,FMCA SCHOLASTICS #28 (MA)1: UNDER 1500,1124 =>1114,953 =>954,
32,2022-12-11,2022 NATIONAL K-12 GRADE CHAMPIONSHIP (MD)7: 6TH GRADE CHAMPIONSHIP,1125 =>1124,,
33,2022-12-08,2022 K-6 BLITZ CHAMPIONSHIP (MD)1: K-6 BLITZ,,,1022 =>1158
34,2022-08-13,LEXINGTON_AUG2022 (MA)3: U1600,1124 =>1125,935 =>953,
35,2022-06-05,HURVITZ CUP (MA)3: GRADES K-5,1124 =>1124,934 =>935,
36,2022-05-30,90TH MASSACHUSETTS OPEN (MA)4: UNDER 1500,1122 =>1124,,
37,2022-04-24,2022 ALL-GIRLS NATIONAL CHAMPIONSHIP (IL)4: UNDER 12,1176 =>1122,,
38,2022-04-22,2022 ALL GIRLS NATIONAL BLITZ (IL)1: BLITZ,,,936 (P22) =>1022
39,2022-04-17,14TH ANNUAL OPEN AT FOXWOODS (CT)6: UNDER 1400,1058 =>1176,,
40,2022-04-10,4TH SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1078 =>1058,958 =>934,
41,2022-03-20,MASSACHUSETTS G-60 CHAMPIONSHIP (MA)5: UNDER 1400,1103 =>1078,998 =>958,
42,2022-03-06,3RD SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1053 =>1103,990 =>998,
43,2022-02-26,2022 QUEEN CITY TORNADO (NH)3: UNDER 1400,1030 =>1053,968 =>990,
44,2022-02-20,WINTER TEAM CHALLENGE (MA)2: GRADES K-6,1080 =>1030,1024 =>968,
